site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description	paleolatitude	vgp_lat	vgp_lon	vgp_lat_rev	vgp_lon_rev
217	Layered series	K124.1:K124.2:K124.3:K124.4:K124.5	287	41	52.8	5	5	5	0	0.06	8.616404369	46.79	-92.2	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Glaciated natural exposure of medium-grained, slightly laminated gabbro"	37.56345503	43.02057336	190.773023	-43.02057336	10.77302297
218	Layered series	K125.1:K125.2:K125.3:K125.4:K125.5:K125.6	284.5	27.5	61.6	6	6	6	0	0.06	7.282190813	46.79	-92.18	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Glaciated natural exposure of massive, coarse-grined, feldspathic gabbro"	25.77906305	31.29772227	183.3398906	-31.29772227	3.339890616
220	Layered series	K127.1:K127.2:K127.3:K127.4:K127.5	284	30.5	290.5	5	5	5	0	0.06	3.673414747	46.8	-92.15	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Fine-grained, almost diabasic gabbro Considered to be anorthosite series by Beck, but maps in layered series and description is similar to layered series ""chill zone"""	28.23208658	32.86969948	185.5876803	-32.86969948	5.587680287
221	Layered series	K128.1:K128.2:K128.3:K128.4:K128.5	290.5	27.5	1432.7	5	5	5	0	0.06	1.654113869	46.79	-92.14	Intrusive:Igneous	Pluton	Ferrogranodiorite	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Medium-to very coarse-grained equigranular gabbro exposed in abandoned quarry	25.12907559	35.83520723	177.6483768	-35.83520723	357.6483768
1	Layered series	6B040:6B041:6B042:6B043	287.7067422	64.36908933	51.3	4	4	4	100	0.06	9.77325786	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Relatively fine-grain indistinctly layered gabbro from within 100' of base. Exposed in RR cut	46.18206889	42.02236092	205.1558085	-42.02236092	25.15580855
7	Layered series	6B061:6B062:6B063:6B064:6B065	281.9586228	50.14621192	84.8	5	5	5	100	0.06	6.799001037	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"strongly banded gabbro, 150' E of sation 6"	30.92052713	29.72228301	192.6537746	-29.72228301	12.65377464
8	Layered series	6B066:6B067:6B068:6B069:6B070:6B071:6B072	301.5790662	58.33660551	345.3	7	7	7	100	0.06	2.847611424	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Alternating fine-grained mafic gabbro and coarse-grain felsic gabbro, in 3-10 cm bands. 100' E of station 8"	39.03261854	47.4982415	189.3827757	-47.4982415	9.382775682
9	Layered series	6B073:6B074:6B075	288.734169	58.71014122	35.4	3	3	3	100	0.06	13.58519189	46.68	-92.23	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Road cut in material similar to station 8	39.44356814	39.22603259	197.0221058	-39.22603259	17.02210576
12	Layered series	6B082:6B083:6B084:6B085:6B086	291.0865249	52.41220938	42.5	5	5	5	100	0.06	9.603920768	46.72	-92.21	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Natural exposure of strongly banded, heterogeneous gabbros"	33.0057191	37.11450431	188.9095617	-37.11450431	8.909561671
13	Layered series	K131.2:K131.3:K131.4:K131.5:K131.6:K131.7	285.5776971	44.8430759	437	6	6	6	100	0.06	2.734082984	46.69	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Strongly banded gabbros like station 8, exposed in road cut"	26.43971774	29.2703788	186.3606483	-29.2703788	6.360648257
