tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	software_packages	int_corr	citations	method_codes	location	site	specimen_direction_type
ns024b2	ns024b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024c1	ns024c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024c1	ns024c	ns024c1 : LT-NO		HEM	149.6	-68	9	0	1.3				948	273	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns024	l
ns024c1	ns024c	ns024c1 : LT-NO		HEM	126.2	-74.3	9	100	1.3				948	273	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns024	l
ns024d1	ns024d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024e1	ns024e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024e2	ns024e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024e2	ns024e	ns024e2 : LT-NO		HEM	139.6	-67.2	8	0	1.4				923	373	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns024	l
ns024e2	ns024e	ns024e2 : LT-NO		HEM	115.6	-72	8	100	1.4				923	373	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns024	l
ns024f1	ns024f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024f2	ns024f	ns024f2 : LT-NO		HEM	145.5	-69.6	9	0	0.7				923	373	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns024	l
ns024f2	ns024f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns024	
ns024f2	ns024f	ns024f2 : LT-NO		HEM	118.5	-75.1	9	100	0.7				923	373	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns024	l
ns025a1	ns025a	ns025a1 : LT-NO		MAG	146.4	-58	10	0	0.9				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns025	l
ns025a1	ns025a	ns025a1 : LT-NO		MAG	134.4	-65.7	10	100	0.9				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns025	l
ns025a1	ns025a									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025b1	ns025b	ns025b1 : LT-NO		MAG	118.9	-68	11	100	1.1				873	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns025	l
ns025b1	ns025b	ns025b1 : LT-NO		MAG	136	-61.9	11	0	1.1				873	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns025	l
ns025b1	ns025b									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025b2	ns025b									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025c1	ns025c	ns025c1 : LT-NO		MAG	112.7	-70.2	3	100	0.7				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns025	l
ns025c1	ns025c									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025c1	ns025c	ns025c1 : LT-NO		MAG	133.1	-64.7	3	0	0.7				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns025	l
ns025c2	ns025c									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025d1	ns025d									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025d1	ns025d	ns025d1 : LT-NO		MAG	91.9	-63.5	7	0	1.3				923	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns025	l
ns025d1	ns025d	ns025d1 : LT-NO		MAG	72.5	-62.1	7	100	1.3				923	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns025	l
ns025e1	ns025e	ns025e1 : LT-NO		MAG	149.8	-68.6	10	0	0.7				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns025	l
ns025e1	ns025e	ns025e1 : LT-NO		MAG	128.9	-76.3	10	100	0.7				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns025	l
ns025e1	ns025e									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025f1	ns025f									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025f2	ns025f									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025g1	ns025g	ns025g1 : LT-NO		HEM	126.7	-67.7	8	100	0.8				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns025	l
ns025g1	ns025g	ns025g1 : LT-NO		HEM	141.6	-60.7	8	0	0.8				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns025	l
ns025g1	ns025g									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025g2	ns025g									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns025g3	ns025g									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns025	
ns026a1	ns026a	ns026a1 : LT-NO		MAG	232.3	-76.3	9	-1	0.6				0.15	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns026	l
ns026a1	ns026a	ns026a1 : LT-NO		MAG	139.9	-55.9	9	0	0.6				0.15	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns026	l
ns026a1	ns026a	ns026a1 : LT-NO		MAG	126.1	-61.4	9	100	0.6				0.15	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns026	l
ns026a1	ns026a									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026a2	ns026a									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026b1	ns026b									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026b2	ns026b	ns026b2 : LT-NO		MAG	139.3	-58	9	0	1				0.1	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns026	l
ns026b2	ns026b									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026b2	ns026b	ns026b2 : LT-NO		MAG	269.6	-63.8	9	-1	1				0.1	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns026	l
ns026b2	ns026b	ns026b2 : LT-NO		MAG	124.1	-63.3	9	100	1				0.1	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns026	l
ns026c1	ns026c									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026c2	ns026c									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026c2	ns026c	ns026c2 : LT-NO		MAG	137.8	-59.9	9	0	1				0.1	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns026	l
ns026c2	ns026c	ns026c2 : LT-NO		MAG	16.8	-26.4	9	-1	1				0.1	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns026	l
ns026c2	ns026c	ns026c2 : LT-NO		MAG	121	-64.9	9	100	1				0.1	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns026	l
ns026d1	ns026d	ns026d1 : LT-NO		MAG	30.7	-75.7	4	-1	0.4				923	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns026	l
ns026d1	ns026d	ns026d1 : LT-NO		MAG	134.8	-58.3	4	100	0.4				923	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns026	l
ns026d1	ns026d									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026d1	ns026d	ns026d1 : LT-NO		MAG	145.7	-51.8	4	0	0.4				923	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns026	l
ns026e1	ns026e									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026e2	ns026e	ns026e2 : LT-NO		MAG	123.2	-62.2	11	100	1.5				0.15	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns026	l
ns026e2	ns026e	ns026e2 : LT-NO		MAG	137.9	-57.1	11	0	1.5				0.15	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns026	l
ns026e2	ns026e	ns026e2 : LT-NO		MAG	277.6	-80.7	11	-1	1.5				0.15	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns026	l
ns026e2	ns026e									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026f1	ns026f									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns026f2	ns026f									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns026	
ns027a1	ns027a	ns027a1 : LT-NO		MAG	294.6	48.8	13	100	2.6				0.18	0.005	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns027	l
ns027a1	ns027a	ns027a1 : LT-NO		MAG	304.7	45.4	13	0	2.6				0.18	0.005	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns027	l
ns027a1	ns027a	ns027a1 : LT-NO		MAG	289.9	68.4	13	-1	2.6				0.18	0.005	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns027	l
ns027a1	ns027a									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027a2	ns027a									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027b1	ns027b	ns027b1 : LT-NO		MAG	228.7	40.8	6	-1	1.2				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns027	l
ns027b1	ns027b									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027b1	ns027b	ns027b1 : LT-NO		MAG	298.5	38.7	6	0	1.2				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns027	l
ns027b1	ns027b	ns027b1 : LT-NO		MAG	290.3	41.1	6	100	1.2				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns027	l
ns027c1	ns027c	ns027c1 : LT-NO		MAG	157.8	51.9	4	-1	3.4				873	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns027	l
ns027c1	ns027c	ns027c1 : LT-NO		MAG	294.2	47.7	4	100	3.4				873	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns027	l
ns027c1	ns027c									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027c1	ns027c	ns027c1 : LT-NO		MAG	304	44.4	4	0	3.4				873	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns027	l
ns027c2	ns027c									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027c3	ns027c									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027d1	ns027d									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027d2	ns027d	ns027d2 : LT-NO		MAG	303.1	43.3	7	0	3				873	373	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns027	l
ns027d2	ns027d	ns027d2 : LT-NO		MAG	293.6	46.5	7	100	3				873	373	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns027	l
ns027d2	ns027d									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027d2	ns027d	ns027d2 : LT-NO		MAG	211.7	45.9	7	-1	3				873	373	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns027	l
ns027d3	ns027d									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027e1	ns027e									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027e2	ns027e									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027e2	ns027e	ns027e2 : LT-NO		MAG	307.6	45.8	5	0	2.3				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns027	l
ns027e2	ns027e	ns027e2 : LT-NO		MAG	297.4	49.6	5	100	2.3				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns027	l
ns027e2	ns027e	ns027e2 : LT-NO		MAG	185.4	34.9	5	-1	2.3				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns027	l
ns027f1	ns027f									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027f2	ns027f									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns027f3	ns027f									Igneous : Intrusive	Sill	Diabase							This study		North Shore Volcanics	ns027	
ns028a1	ns028a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028a1	ns028a	ns028a1 : LT-NO		MAG	298.4	30.3	10	0	1				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns028	l
ns028a1	ns028a	ns028a1 : LT-NO		MAG	290.1	36.8	10	100	1				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns028	l
ns028a1	ns028a	ns028a1 : LT-NO		MAG	223	48.4	10	-1	1				0.18	0.02	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns028	l
ns028a2	ns028a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028b1	ns028b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028b1	ns028b	ns028b1 : LT-NO		MAG	230	49.7	7	-1	1				873	623	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns028	l
ns028b1	ns028b	ns028b1 : LT-NO		MAG	299.9	24.5	7	0	1				873	623	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns028	l
ns028b1	ns028b	ns028b1 : LT-NO		MAG	293.4	31.5	7	100	1				873	623	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns028	l
ns028b2	ns028b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028c1	ns028c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028c1	ns028c	ns028c1 : LT-NO		MAG	287.6	30.7	4	100	0.4				923	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns028	l
ns028c1	ns028c	ns028c1 : LT-NO		MAG	235.4	45.7	4	-1	0.4				923	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns028	l
ns028c1	ns028c	ns028c1 : LT-NO		MAG	294.4	25	4	0	0.4				923	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns028	l
ns028c2	ns028c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028d1	ns028d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028d2	ns028d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028e1	ns028e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028e2	ns028e	ns028e2 : LT-NO		MAG	286.1	33.1	4	100	0.7				873	723	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns028	l
ns028e2	ns028e	ns028e2 : LT-NO		MAG	226.3	47.8	4	-1	0.7				873	723	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns028	l
ns028e2	ns028e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028e2	ns028e	ns028e2 : LT-NO		MAG	293.7	27.6	4	0	0.7				873	723	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns028	l
ns028e3	ns028e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028f1	ns028f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028f2	ns028f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028f2	ns028f	ns028f2 : LT-NO		MAG	286	31.3	5	100	0.6				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns028	l
ns028f2	ns028f	ns028f2 : LT-NO		MAG	293.1	25.9	5	0	0.6				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns028	l
ns028f2	ns028f	ns028f2 : LT-NO		MAG	234.8	44.4	5	-1	0.6				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns028	l
ns028g1	ns028g									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns028g2	ns028g									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns028	
ns029a1	ns029a									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029a1	ns029a	ns029a1 : LT-NO		MAG	255.9	31.7	8	-1	1.8				0.08	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns029	l
ns029a1	ns029a	ns029a1 : LT-NO		MAG	297.3	22.9	8	0	1.8				0.08	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns029	l
ns029a1	ns029a	ns029a1 : LT-NO		MAG	292.9	25.5	8	100	1.8				0.08	0.01	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns029	l
ns029a2	ns029a									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029b1	ns029b	ns029b1 : LT-NO		MAG	249.8	34.6	4	-1	0.6				873	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns029	l
ns029b1	ns029b									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029b1	ns029b	ns029b1 : LT-NO		MAG	294.6	28.4	4	100	0.6				873	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns029	l
ns029b1	ns029b	ns029b1 : LT-NO		MAG	299.5	25.5	4	0	0.6				873	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns029	l
ns029b2	ns029b									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029c1	ns029c									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029c1	ns029c	ns029c1 : LT-NO		MAG	300.1	28	3	0	0.9				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns029	l
ns029c1	ns029c	ns029c1 : LT-NO		MAG	247.3	33.9	3	-1	0.9				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns029	l
ns029c1	ns029c	ns029c1 : LT-NO		MAG	294.7	31	3	100	0.9				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns029	l
ns029c2	ns029c									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029d1	ns029d									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029e1	ns029e	ns029e1 : LT-NO		MAG	265.4	31.2	2	-1	180				873	823	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns029	l
ns029e1	ns029e	ns029e1 : LT-NO		MAG	303.5	28.1	2	0	1				873	823	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns029	l
ns029e1	ns029e	ns029e1 : LT-NO		MAG	298.1	31.7	2	100	181				873	823	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns029	l
ns029e1	ns029e									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029e2	ns029e									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029f1	ns029f									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns029f2	ns029f	ns029f2 : LT-NO		MAG	298.6	33.9	3	100	0.6				873	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns029	l
ns029f2	ns029f	ns029f2 : LT-NO		MAG	304.4	30.2	3	0	0.6				873	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns029	l
ns029f2	ns029f	ns029f2 : LT-NO		MAG	240.9	49.3	3	-1	0.6				873	773	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns029	l
ns029f2	ns029f									Igneous : Intrusive	Sill	Gabbro							This study		North Shore Volcanics	ns029	
ns030a1	ns030a	ns030a1 : LT-NO		HEM	293.3	33.2	9	100	1.2				0.18	0.03	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns030	l
ns030a1	ns030a	ns030a1 : LT-NO		HEM	298.7	28.8	9	0	1.2				0.18	0.03	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns030	l
ns030a1	ns030a									Igneous : Extrusive	Lava Flow	Rhyolite							This study		North Shore Volcanics	ns030	
ns030b1	ns030b	ns030b1 : LT-NO		MAG	295.1	29.4	5	0	1.3				873	723	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns030	l
