tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	software_packages	int_corr	citations	method_codes	location	site	specimen_direction_type
ns003d2	ns003d	ns003d2 : LT-NO		HEM	296.8	39.7	5	0	1.7				923	723	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns003	l
ns003d2	ns003d									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns003	
ns003d2	ns003d	ns003d2 : LT-NO		HEM	287.5	46.6	5	100	1.7				923	723	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns003	l
ns003e1	ns003e	ns003e1 : LT-NO		HEM	298.6	37.4	10	0	2.9				0.18	0.02	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns003	l
ns003e1	ns003e									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns003	
ns003e1	ns003e	ns003e1 : LT-NO		HEM	290.3	44.7	10	100	2.9				0.18	0.02	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns003	l
ns003f1	ns003f	ns003f1 : LT-NO		HEM	293.6	46.9	9	0	1.7				0.15	0.02	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns003	l
ns003f1	ns003f	ns003f1 : LT-NO		HEM	281.2	53	9	100	1.7				0.15	0.02	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns003	l
ns003f1	ns003f									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns003	
ns003g1	ns003g									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns003	
ns004a1	ns004a	ns004a1 : LT-NO		MAG	294	49.9	6	100	1.6				0.06	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns004	l
ns004a1	ns004a	ns004a1 : LT-NO		MAG	253.5	39.7	6	-1	1.6				0.06	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns004	l
ns004a1	ns004a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004a1	ns004a	ns004a1 : LT-NO		MAG	303.2	41.8	6	0	1.6				0.06	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns004	l
ns004c1	ns004c	ns004c1 : LT-NO		MAG	295.2	55.3	4	100	4.9				873	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns004	l
ns004c1	ns004c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004c1	ns004c	ns004c1 : LT-NO		MAG	256.3	45.8	4	-1	4.9				873	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns004	l
ns004c1	ns004c	ns004c1 : LT-NO		MAG	306.1	47	4	0	4.9				873	573	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns004	l
ns004d1	ns004d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004e1	ns004e	ns004e1 : LT-NO		MAG	243.7	74.1	5	-1	1.1				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns004	l
ns004e1	ns004e	ns004e1 : LT-NO		MAG	289.6	44.1	5	100	1.1				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns004	l
ns004e1	ns004e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004e1	ns004e	ns004e1 : LT-NO		MAG	297.9	36.8	5	0	1.1				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns004	l
ns004f1	ns004f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004f1	ns004f	ns004f1 : LT-NO		MAG	233.7	3.5	5	-1	3				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns004	l
ns004f1	ns004f	ns004f1 : LT-NO		MAG	298.6	36.4	5	0	3				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns004	l
ns004f1	ns004f	ns004f1 : LT-NO		MAG	290.5	43.8	5	100	3				873	673	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns004	l
ns004f2	ns004f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004g1	ns004g	ns004g1 : LT-NO		MAG	247.3	34	6	-1	1.5				0.06	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : DE-BFL	North Shore Volcanics	ns004	l
ns004g1	ns004g	ns004g1 : LT-NO		MAG	291.8	39.5	6	0	1.5				0.06	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns004	l
ns004g1	ns004g									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns004	
ns004g1	ns004g	ns004g1 : LT-NO		MAG	282.2	45.6	6	100	1.5				0.06	0.015	T	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns004	l
ns005a1	ns005a									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005a1	ns005a	ns005a1 : LT-NO		HEM	295.3	36.8	22	100	1.9				923	0	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns005	l
ns005a1	ns005a	ns005a1 : LT-NO		HEM	301.1	28.9	22	0	1.9				923	0	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns005	l
ns005b1	ns005b									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005b1	ns005b	ns005b1 : LT-NO		MAG	302.1	36.5	11	100	1.9				873	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns005	l
ns005b1	ns005b	ns005b1 : LT-NO		MAG	307.2	27.6	11	0	1.9				873	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns005	l
ns005b1	ns005b	ns005b1 : LT-NO		MAG	198.2	-52.4	11	-1	1.9				873	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns005	l
ns005b2	ns005b									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005c1	ns005c									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005c1	ns005c	ns005c1 : LT-NO		MAG	304.9	37.2	8	100	1.8				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns005	l
ns005c1	ns005c	ns005c1 : LT-NO		MAG	309.8	27.9	8	0	1.8				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns005	l
ns005c1	ns005c	ns005c1 : LT-NO		MAG	204.9	-50.2	8	-1	1.8				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns005	l
ns005c2	ns005c									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005d1	ns005d									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005e1	ns005e	ns005e1 : LT-NO		MAG	298	31	10	0	2.1				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns005	l
ns005e1	ns005e	ns005e1 : LT-NO		MAG	291.4	38.4	10	100	2.1				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns005	l
ns005e1	ns005e	ns005e1 : LT-NO		MAG	181.2	-19	10	-1	2.1				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns005	l
ns005e1	ns005e									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005f1	ns005f									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005g1	ns005g	ns005g1 : LT-NO		MAG	300.5	38	10	100	2.1				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns005	l
ns005g1	ns005g									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005g1	ns005g	ns005g1 : LT-NO		MAG	195.3	-16.1	10	-1	2.1				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : DE-BFL	North Shore Volcanics	ns005	l
ns005g1	ns005g	ns005g1 : LT-NO		MAG	306	29.3	10	0	2.1				923	273	K	Magnetite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns005	l
ns005g2	ns005g									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns005h1	ns005h									Igneous : Extrusive	Lava Flow	Andesite							This study		North Shore Volcanics	ns005	
ns006a1	ns006a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006b1	ns006b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006b1	ns006b	ns006b1 : LT-NO		HEM	296.5	37.5	10	100	1.2				948	573	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns006	l
ns006b1	ns006b	ns006b1 : LT-NO		HEM	302.4	29.4	10	0	1.2				948	573	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns006	l
ns006b2	ns006b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006c1	ns006c	ns006c1 : LT-NO		HEM	300.9	31.7	8	0	0.7				948	373	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns006	l
ns006c1	ns006c	ns006c1 : LT-NO		HEM	294.4	39.6	8	100	0.7				948	373	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns006	l
ns006c1	ns006c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006c2	ns006c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006d1	ns006d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006d2	ns006d	ns006d2 : LT-NO		HEM	295.9	34	13	100	0.8				0.18	0.005	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns006	l
ns006d2	ns006d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006d2	ns006d	ns006d2 : LT-NO		HEM	301.1	26	13	0	0.8				0.18	0.005	T	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns006	l
ns006e1	ns006e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006e2	ns006e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006e2	ns006e	ns006e2 : LT-NO		HEM	298.4	32.6	8	0	0.7				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns006	l
ns006e2	ns006e	ns006e2 : LT-NO		HEM	291.4	40	8	100	0.7				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns006	l
ns006f1	ns006f	ns006f1 : LT-NO		HEM	302.8	32.5	8	0	0.7				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns006	l
ns006f1	ns006f									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns006	
ns006f1	ns006f	ns006f1 : LT-NO		HEM	296.2	40.7	8	100	0.7				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns006	l
ns007a1	ns007a	ns007a1 : LT-NO		HEM	296.1	35	23	0	1.3				948	0	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns007	l
ns007a1	ns007a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007a1	ns007a	ns007a1 : LT-NO		HEM	288.3	41.9	23	100	1.3				948	0	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-AF : LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns007	l
ns007a2	ns007a									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007b1	ns007b									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007c1	ns007c	ns007c1 : LT-NO		HEM	303.1	42.3	6	100	0.9				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns007	l
ns007c1	ns007c	ns007c1 : LT-NO		HEM	309.2	33.2	6	0	0.9				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns007	l
ns007c1	ns007c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007c2	ns007c									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007d1	ns007d	ns007d1 : LT-NO		HEM	306.2	40.3	8	100	1.6				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT	North Shore Volcanics	ns007	l
ns007d1	ns007d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007d1	ns007d	ns007d1 : LT-NO		HEM	311.6	30.9	8	0	1.6				923	473	K	Hematite remanence.	pmagpy-2.03	u	This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	North Shore Volcanics	ns007	l
ns007d2	ns007d									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
ns007e1	ns007e									Igneous : Extrusive	Lava Flow	Basalt							This study		North Shore Volcanics	ns007	
