tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.1	188.1	23.4	ns005f1:LT-NO	North Shore Volcanics	0.0001127	4	273	1	LT-NO	g	ns005f	ns005	ns005f1	u	SAN	0	0	0	0	273
This study	0.3	196.8	-16.8	ns005g1:LT-NO	North Shore Volcanics	0.0001237	4	273	1	LT-NO	g	ns005g	ns005	ns005g1	u	SAN	0	0	0	0	273
This study	0.1	194.7	-15.4	ns005g2:LT-NO	North Shore Volcanics	0.0001328	4	273	1	LT-NO	g	ns005g	ns005	ns005g2	u	SAN	0	0	0	0	273
This study	0.3	202.6	-33.4	ns005h1:LT-NO	North Shore Volcanics	7.011e-05	4	273	1	LT-NO	g	ns005h	ns005	ns005h1	u	SAN	0	0	0	0	273
This study	0.4	224.7	59	ns006a1:LT-NO	North Shore Volcanics	2.214e-05	4	273	1	LT-NO	g	ns006a	ns006	ns006a1	u	SAN	0	0	0	0	273
This study	0.4	231.8	59.5	ns006b1:LT-NO	North Shore Volcanics	2.253e-05	4	273	1	LT-NO	g	ns006b	ns006	ns006b1	u	SAN	0	0	0	0	273
This study	0.4	227.8	59.5	ns006b2:LT-NO	North Shore Volcanics	2.313e-05	4	273	1	LT-NO	g	ns006b	ns006	ns006b2	u	SAN	0	0	0	0	273
This study	0.6	237.6	29.6	ns006c1:LT-NO	North Shore Volcanics	4.252e-05	4	273	1	LT-NO	g	ns006c	ns006	ns006c1	u	SAN	0	0	0	0	273
This study	0.4	240.4	27.4	ns006c2:LT-NO	North Shore Volcanics	3.547e-05	4	273	1	LT-NO	g	ns006c	ns006	ns006c2	u	SAN	0	0	0	0	273
This study	0.5	236.6	33.6	ns006d1:LT-NO	North Shore Volcanics	4.55e-05	4	273	1	LT-NO	g	ns006d	ns006	ns006d1	u	SAN	0	0	0	0	273
This study	0.4	243.7	33.8	ns006d2:LT-NO	North Shore Volcanics	3.599e-05	4	273	1	LT-NO	g	ns006d	ns006	ns006d2	u	SAN	0	0	0	0	273
This study	0.3	226.3	21.7	ns006e1:LT-NO	North Shore Volcanics	3.305e-05	4	273	1	LT-NO	g	ns006e	ns006	ns006e1	u	SAN	0	0	0	0	273
This study	0.4	233.5	20.3	ns006e2:LT-NO	North Shore Volcanics	3.06e-05	4	273	1	LT-NO	g	ns006e	ns006	ns006e2	u	SAN	0	0	0	0	273
This study	0.5	233.5	22.9	ns006f1:LT-NO	North Shore Volcanics	5.358e-05	4	273	1	LT-NO	g	ns006f	ns006	ns006f1	u	SAN	0	0	0	0	273
This study	0.6	300.4	40.1	ns007a1:LT-NO	North Shore Volcanics	1.27e-05	4	273	1	LT-NO	g	ns007a	ns007	ns007a1	u	SAN	0	0	0	0	273
This study	0.5	303.2	40.7	ns007a2:LT-NO	North Shore Volcanics	1.287e-05	4	273	1	LT-NO	g	ns007a	ns007	ns007a2	u	SAN	0	0	0	0	273
This study	0.3	156	25.5	ns007b1:LT-NO	North Shore Volcanics	7.321e-05	4	273	1	LT-NO	g	ns007b	ns007	ns007b1	u	SAN	0	0	0	0	273
This study	0.4	15.8	41.7	ns007c1:LT-NO	North Shore Volcanics	1.901e-05	4	273	1	LT-NO	g	ns007c	ns007	ns007c1	u	SAN	0	0	0	0	273
This study	0.3	15.9	41.7	ns007c2:LT-NO	North Shore Volcanics	2.153e-05	4	273	1	LT-NO	g	ns007c	ns007	ns007c2	u	SAN	0	0	0	0	273
This study	0.5	15.4	49	ns007d1:LT-NO	North Shore Volcanics	2.138e-05	4	273	1	LT-NO	g	ns007d	ns007	ns007d1	u	SAN	0	0	0	0	273
This study	0.4	18.6	49.7	ns007d2:LT-NO	North Shore Volcanics	1.478e-05	4	273	1	LT-NO	g	ns007d	ns007	ns007d2	u	SAN	0	0	0	0	273
This study	0.4	59.9	51.6	ns007e1:LT-NO	North Shore Volcanics	1.852e-05	4	273	1	LT-NO	g	ns007e	ns007	ns007e1	u	SAN	0	0	0	0	273
This study	0.2	115.8	44	ns007f1:LT-NO	North Shore Volcanics	1.468e-05	4	273	1	LT-NO	g	ns007f	ns007	ns007f1	u	SAN	0	0	0	0	273
This study	0.3	120.2	43.6	ns007f2:LT-NO	North Shore Volcanics	1.334e-05	4	273	1	LT-NO	g	ns007f	ns007	ns007f2	u	SAN	0	0	0	0	273
This study	0.4	122.3	76.4	ns007g1:LT-NO	North Shore Volcanics	2.844e-05	4	273	1	LT-NO	g	ns007g	ns007	ns007g1	u	SAN	0	0	0	0	273
This study	0.3	132	21.8	ns008a1:LT-NO	North Shore Volcanics	2.745e-06	4	273	1	LT-NO	g	ns008a	ns008	ns008a1	u	SAN	0	0	0	0	273
This study	0.3	131.3	23	ns008b1:LT-NO	North Shore Volcanics	4.089e-06	4	273	1	LT-NO : DE-VM	g	ns008b	ns008	ns008b1	u	SAN	0	0	0	0	273
This study	0.4	131.4	22.1	ns008b2:LT-NO	North Shore Volcanics	3.992e-06	4	273	1	LT-NO	g	ns008b	ns008	ns008b2	u	SAN	0	0	0	0	273
This study	0.3	191.9	37.8	ns008c1:LT-NO	North Shore Volcanics	2.863e-06	4	273	1	LT-NO	g	ns008c	ns008	ns008c1	u	SAN	0	0	0	0	273
This study	0.3	193.7	36.3	ns008c2:LT-NO	North Shore Volcanics	2.993e-06	4	273	1	LT-NO	g	ns008c	ns008	ns008c2	u	SAN	0	0	0	0	273
This study	0.6	187.3	33.9	ns008d1:LT-NO	North Shore Volcanics	4.104e-06	4	273	1	LT-NO	g	ns008d	ns008	ns008d1	u	SAN	0	0	0	0	273
This study	0.3	185	32.5	ns008d2:LT-NO	North Shore Volcanics	3.919e-06	4	273	1	LT-NO	g	ns008d	ns008	ns008d2	u	SAN	0	0	0	0	273
This study	0.5	211.3	48.7	ns008e1:LT-NO	North Shore Volcanics	2.378e-06	4	273	1	LT-NO	g	ns008e	ns008	ns008e1	u	SAN	0	0	0	0	273
This study	0.3	144.4	34.2	ns008f1:LT-NO	North Shore Volcanics	2.257e-06	4	273	1	LT-NO	g	ns008f	ns008	ns008f1	u	SAN	0	0	0	0	273
This study	0.4	204.4	43	ns008g1:LT-NO	North Shore Volcanics	2.408e-06	4	273	1	LT-NO	g	ns008g	ns008	ns008g1	u	SAN	0	0	0	0	273
This study	0.3	210.4	45.7	ns008h1:LT-NO	North Shore Volcanics	2.793e-06	4	273	1	LT-NO	g	ns008h	ns008	ns008h1	u	SAN	0	0	0	0	273
This study	0.3	204.4	44.4	ns008h2:LT-NO	North Shore Volcanics	2.274e-06	4	273	1	LT-NO	g	ns008h	ns008	ns008h2	u	SAN	0	0	0	0	273
This study	0.4	155.1	56.7	ns008i1:LT-NO	North Shore Volcanics	4.703e-06	4	273	1	LT-NO	g	ns008i	ns008	ns008i1	u	SAN	0	0	0	0	273
This study	0.6	225.4	49.4	ns008j1:LT-NO	North Shore Volcanics	5.012e-06	4	273	1	LT-NO	g	ns008j	ns008	ns008j1	u	SAN	0	0	0	0	273
