pole_name,citations,location,site,lat,lon,age,age_high,age_low,age_unit,age_uncertainty,dir_dec,dir_inc,dir_k,dir_f,dir_alpha95,dir_r,dir_tilt_correction,dir_polarity,dir_n_specimens,dir_n_samples,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,geologic_classes,lithologies,geologic_types,age_model,height_type,height,height_upper,height_lower,paleolatitude,Plon,Plat
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(91.5 to 92.6),48.8069,272.3382,1108.0,1110.0,1105.15,Ma,uniform,82.8,-68.5,362.962962962963,1.0,3.0,,100,r,6.0,6.0,-32.68448930378714,45.49613062945616,32.68448930378714,225.49613062945616,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,91.5,,,-51.76821948271131,225.49613062945616,32.68448930378714
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(94.3 to 94.9),48.8068,272.338,1108.0,1110.0,1105.15,Ma,uniform,94.1,-74.4,212.00648999459167,1.0,4.3,,100,r,5.0,5.0,-42.84030405835242,50.7929983767379,42.84030405835242,230.7929983767379,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,94.3,,,-60.82057082626766,230.7929983767379,42.84030405835242
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI1(94.9 to 96.6),48.8066,272.3379,1108.0,1110.0,1105.15,Ma,uniform,79.1,-75.0,741.0207939508507,1.0,2.3,,100,r,5.0,5.0,-37.18777395862405,56.73150631912148,37.18777395862405,236.73150631912148,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,94.9,,,-61.81321456798648,236.73150631912148,37.18777395862405
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI2a(1.1 to 1.6),48.7943,272.3444,1108.0,1110.0,1105.15,Ma,uniform,117.1,-58.1,194.32877255601827,1.0,4.1,,100,r,6.0,6.0,-44.83950806251922,14.173412234215675,44.83950806251922,194.17341223421568,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,442.1,,,-38.77434170762549,194.17341223421568,44.83950806251922
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI2a(10.2 to 12.8),48.794,272.3445,1108.0,1110.0,1105.15,Ma,uniform,152.3,-68.8,141.78240740740742,1.0,4.8,,100,r,6.0,6.0,-72.16822342731882,23.84178235955585,72.16822342731882,203.84178235955585,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,451.2,,,-52.19751876417638,203.84178235955585,72.16822342731882
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI2b(10.5 to 10.6),48.7916,272.3461,1108.0,1110.0,1105.15,Ma,uniform,107.4,-67.3,202.47933884297518,1.0,4.4,,100,r,5.0,5.0,-44.70267231587033,32.86354337323155,44.70267231587033,212.86354337323155,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,527.5,,,-50.083536636962464,212.86354337323155,44.70267231587033
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI2b(2.2 to 2.6),48.7921,272.3454,1108.0,1110.0,1105.15,Ma,uniform,120.0,-62.4,138.88888888888889,1.0,4.2,,100,r,8.0,8.0,-49.29180571227397,18.68634773636859,49.29180571227397,198.6863477363686,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,519.2,,,-43.72368002531006,198.6863477363686,49.29180571227397
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI2c(0.0 to 2.1),48.7903,272.3455,1108.0,1110.0,1105.15,Ma,uniform,108.7,-39.2,168.73278236914598,1.0,4.4,,100,r,6.0,6.0,-28.663083048504237,4.006105133930305,28.663083048504237,184.0061051339303,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,592.0,,,-22.18514616582576,184.0061051339303,28.663083048504237
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI2c(2.1 to 18.6),48.7902,272.3455,1108.0,1110.0,1105.15,Ma,uniform,111.3,-47.3,567.1296296296297,1.0,2.4,,100,r,6.0,6.0,-34.667518659260026,7.479130542129781,34.667518659260026,187.47913054212978,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,594.1,,,-28.450819521737436,187.47913054212978,34.667518659260026
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(103.3 to 110.3),48.7799,272.3705,1108.0,1110.0,1105.15,Ma,uniform,84.0,-68.1,87.79002060378036,1.0,6.1,,100,r,6.0,6.0,-32.8917483494869,44.45794184630148,32.8917483494869,224.45794184630148,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,846.3,,,-51.20089775698439,224.45794184630148,32.8917483494869
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(12.5 to 20.1),48.7823,272.3682,1108.0,1110.0,1105.15,Ma,uniform,109.1,-73.7,84.98092265001733,1.0,6.2,,100,r,6.0,6.0,-49.302896119510415,45.34718944961037,49.302896119510415,225.34718944961037,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,755.5,,,-59.67915667613019,225.34718944961037,49.302896119510415
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(124.8 to 130.4),48.7791,272.3708,1108.0,1110.0,1105.15,Ma,uniform,81.5,-63.7,156.8,1.0,5.0,,100,r,5.0,5.0,-27.805584702150384,40.55490379421758,27.805584702150384,220.55490379421758,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,867.8,,,-45.332466119557715,220.55490379421758,27.805584702150384
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(2.3 to 5.5),48.7828,272.3674,1108.0,1110.0,1105.15,Ma,uniform,135.4,-69.3,161.31687242798355,1.0,4.5,,100,r,6.0,6.0,-62.00498425789556,27.958825319997118,62.00498425789556,207.95882531999712,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,745.3,,,-52.920308387592094,207.95882531999712,62.00498425789556
Osler reverse lower,Swanson-Hysell et al. 2014,Simpson Island,SI3(20.1 to 28.9),48.7821,272.3684,1108.0,1110.0,1105.15,Ma,uniform,108.1,-69.3,603.2625423207141,1.0,1.9,,100,r,9.0,9.0,-46.34726992027543,36.24691828950938,46.34726992027543,216.24691828950938,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,763.1,,,-52.920308387592094,216.24691828950938,46.34726992027543
