AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
0.00000,0.00000,"0","0",,,,,"0","0","0","0",,,"19920000",JCG,,MGS Misc. Map M-71,VC,P,"125","16",,"1","124","200000","235"
0.00000,0.00000,"0","0",,,,,"0","0","0","0",,,"19920000",JCG,,MGS Misc. Map M-71,VC,P,"132","12",,"1","124","12000","228"
