AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
0.00000,0.00000,"0","0",,,,,"0","0","0","0",,,"19820000",JCG,,MGS Two Harbors Sheet,VB,P,"155","12",,"1","122","200000","205"
0.00000,0.00000,"0","0",,,,,"0","0","0","0",,,"19820000",JCG,,MGS Two Harbors Sheet,VB,P,"140","8",,"1","122","200000","220"
0.00000,0.00000,"0","0",,,,,"0","0","0","0",,,"19820000",JCG,,MGS Two Harbors Sheet,VB,P,"135","5",,"1","122","200000","225"
0.00000,0.00000,"0","0",,,,,"0","0","0","0",,,"19770000",JCG,,Environ Geol of the No Shore,VC,P,"105","13",,"1","124","200000","255"
